name,md5,abSize
audio/sound_beta_2/voice/char_306_leizi.ab,ccaf9fa835e7ba22ad5451b92e48e052,3270832
audio/sound_beta_2/voice/char_308_swire.ab,5924b6f8e80cb1e07e54f1886147e832,3726754
audio/sound_beta_2/voice/char_311_mudrok#1.ab,6978d8e530bc7b1e87dd83752f90ef50,3638970
audio/sound_beta_2/voice/char_311_mudrok.ab,daacbd430dedf6910b15445456f7d9d8,3476031
audio/sound_beta_2/voice/char_322_lmlee.ab,959661d2ef37b975768d84ccb0c5f280,3680259
audio/sound_beta_2/voice/char_325_bison.ab,ac01f112bbcb0a51a11369c268d56b12,1913027
audio/sound_beta_2/voice/char_326_glacus.ab,c39b356600cbfa759450d77d75578f5f,2106952
audio/sound_beta_2/voice/char_328_cammou.ab,4267df24871dd3c3c6587a4f606a48dd,1414923
audio/sound_beta_2/voice/char_332_archet.ab,b69dda98e6335089b4ef2256cad6c630,3404902
audio/sound_beta_2/voice/char_333_sidero.ab,6f79a2db1d40f06496e5a78abbce2b38,2720707
audio/sound_beta_2/voice/char_336_folivo.ab,6f49909319c2f9aead7a04fe88ec8978,2393675
audio/sound_beta_2/voice/char_337_utage.ab,c6f0f3be1ac20172b329e3ced07dd370,1945428
audio/sound_beta_2/voice/char_338_iris.ab,85201ec0e3ffc848485548ae4d7d739b,2864236
audio/sound_beta_2/voice/char_340_shwaz.ab,ed1ebe5db770935520dd143761deb604,2267807
audio/sound_beta_2/voice/char_341_sntlla.ab,6680137f232f88f0f7adf060d3172740,2025997
audio/sound_beta_2/voice/char_343_tknogi.ab,c8977506a53daba64baa9f97d6646726,2930250
audio/sound_beta_2/voice/char_344_beewax.ab,0e23c8a215adb0b02d489033097db5f5,3446231
audio/sound_beta_2/voice/char_345_folnic.ab,224651ba8cf1d8878fd0ebff65d27300,1649827
audio/sound_beta_2/voice/char_346_aosta.ab,a836d35d92cef4736ab3d3a751bec64b,2586915
audio/sound_beta_2/voice/char_347_jaksel.ab,89330ca619e1a9e281404166aa49b300,2099368
audio/sound_beta_2/voice/char_348_ceylon.ab,f0c170f54bbff2818acca637692f0dbd,2347372
audio/sound_beta_2/voice/char_349_chiave.ab,fb8ebcf347ef624e2f5cdf8e3ca4fcea,1762626
audio/sound_beta_2/voice/char_350_surtr.ab,7199b27a8ef913b973d5ae25df9c500f,1609367
audio/sound_beta_2/voice/char_355_ethan.ab,87f6d9b7a07a6309724eeafdc1b6918c,3170308
audio/sound_beta_2/voice/char_356_broca.ab,293e2fb80a1f11b30233c438f7d99bf1,1864985
audio/sound_beta_2/voice/char_358_lisa.ab,5842f8535e6ba30971bc36c195ffebad,3699924
audio/sound_beta_2/voice/char_362_saga.ab,b463ecb9788997ee8be320be4b9c9966,2955135
audio/sound_beta_2/voice/char_363_toddi.ab,d03102000237a52bca12d2f5ca516357,2334725
audio/sound_beta_2/voice/char_365_aprl.ab,cf9c283a5cf428072f34825f3cff1d33,2653329
audio/sound_beta_2/voice/char_366_acdrop.ab,f3d7d64eb071503724f17cd3ebb13bea,2003175
audio/sound_beta_2/voice/char_367_swllow.ab,e1a93887c6fba17e7216a4e905a18208,2987102
audio/sound_beta_2/voice/char_369_bena.ab,0ae636f49b0ce7501dedc2debf91dd8e,2134614
